ELECTRIC SYSTEM NII,THERMAL UNITS INSTALLED CAPACITY 2023,MAX ANNUAL PEAK DEMAND 2023,RES UNITS ENERGY GENERATION (MWh),THERMAL UNITS ENERGY GENERATION (MWh),ATC_NII (€/MWh),AVC_NII (€/MWh),SHARE OF ELECTRICITY PRODUCTION FROM RES (%)
RODOS,314.682,238.8,9709.49,32260.18,385.64,215.32,23.13
LESVOS,102.595,63.0,4071.6,16829.71,246.9,199.84,19.48
KOS-KALIMNOS,197.238,108.4,4116.99,15244.29,368.05,210.02,21.26
LIMNOS,31.253,14.8,685.58,3541.45,344.99,222.62,16.22
MILOS,26.775,14.49,482.77,3154.68,248.56,208.61,13.27
CHIOS,77.782,45.7,2393.38,12020.49,192.27,131.79,16.6
SAMOS,49.63,29.6,1931.67,7171.38,289.61,198.38,21.22
KARPATHOS,25.354,13.43,475.04,1844.92,345.49,215.95,20.48
AGIOS EFSTRATIOS,0.84,0.323,0.0,75.94,703.26,351.52,0.0
AGATHONISI,0.639,0.22,0.0,47.17,1153.84,495.86,0.0
AMORGOS,6.2,3.59,40.51,684.34,481.97,332.2,5.59
ANAFI,1.392,0.628,0.0,77.19,517.89,399.26,0.0
ANTIKITHIRA,0.413,0.124,0.0,22.76,1167.62,430.2,0.0
ARKOI,0.405,0.167,0.0,24.72,2240.89,591.84,0.0
ASTYPALAIA,5.1,2.53,55.93,319.6,570.61,333.4,14.89
GAVDOS,0.83,0.187,0.0,36.56,830.37,471.86,0.0
DONOUSA,0.99,0.47,0.0,49.33,2188.31,568.47,0.0
EREIKOUSA,1.165,0.426,0.0,47.16,1116.96,575.2,0.0
THIRA,80.187,67.6,92.88,13125.76,251.07,196.24,0.7
IKARIA,21.272,7.121,1096.87,846.65,1187.18,594.81,56.44
KYTHNOS,8.445,4.02,42.06,0.0,495.2,309.82,100.0
MEGISTI,2.62,1.295,0.0,304.62,517.17,352.63,0.0
OTHONON,0.662,0.266,0.0,46.88,1050.18,461.82,0.0
PATMOS,8.925,5.54,145.66,1060.03,554.49,393.76,12.08
SERIFOS,8.155,3.68,17.43,497.45,523.81,336.69,3.39
SIFNOS,14.0,7.2,158.42,962.46,724.68,404.21,14.13
SKYROS,8.9,4.7,45.99,1101.65,540.24,375.22,4.01
SIMI,8.775,3.95,23.73,823.28,543.8,374.35,2.8
