ELECTRIC SYSTEM NII,THERMAL UNITS INSTALLED CAPACITY 2021,MAX ANNUAL PEAK DEMAND 2021,RES UNITS ENERGY GENERATION (MWh),THERMAL UNITS ENERGY GENERATION (MWh),ATC_NII (€/MWh),AVC_NII (€/MWh),SHARE OF ELECTRICITY PRODUCTION FROM RES (%)
RODOS,326.96,237.47,6768.2,33004.87,403.82,238.87,17.02
LESVOS,102.6,68.36,3336.01,19143.63,222.9,197.62,14.84
KOS-KALIMNOS,143.74,106.08,3218.26,16101.71,404.26,208.81,16.66
LIMNOS,26.15,16.3,736.26,3793.62,392.23,233.0,16.25
MILOS,21.7,14.52,275.42,2955.84,280.25,211.95,8.52
CHIOS,77.78,51.9,2438.88,12960.95,241.5,188.51,15.84
SAMOS,49.63,33.1,1687.68,7662.29,320.03,232.34,18.05
KARPATHOS,19.05,12.45,348.85,1922.03,401.72,280.84,15.36
AGIOS EFSTRATIOS,0.84,0.35,0.0,75.27,671.12,371.22,0.0
AGATHONISI,0.64,0.24,0.0,70.79,1014.98,445.69,0.0
AMORGOS,6.2,3.5,24.19,671.09,618.9,358.38,3.48
ANAFI,1.15,0.64,0.0,73.81,576.29,452.44,0.0
ANTIKITHIRA,0.41,0.1,0.0,19.96,1107.64,572.79,0.0
ARKOI,0.41,0.16,0.0,21.98,2968.93,530.1,0.0
ASTYPALAIA,5.1,2.59,30.68,341.99,987.19,564.76,8.23
GAVDOS,0.43,0.18,0.0,35.77,1061.21,483.82,0.0
DONOUSA,0.99,0.46,0.0,53.41,1535.47,430.1,0.0
EREIKOUSA,0.77,0.53,0.0,52.61,1092.01,468.81,0.0
THIRA,80.19,58.35,54.44,9291.32,406.0,317.24,0.58
IKARIA,20.02,9.6,637.05,1472.87,803.53,381.56,30.19
KYTHNOS,7.2,4.34,18.94,558.41,740.93,502.55,3.28
MEGISTI,2.22,1.19,0.0,281.14,584.54,400.4,0.0
OTHONON,0.66,0.29,0.0,39.85,1074.94,431.66,0.0
PATMOS,8.93,6.14,121.47,1014.08,650.85,429.36,10.7
SERIFOS,7.97,4.14,11.63,446.37,635.26,356.81,2.54
SIFNOS,11.48,7.5,112.53,911.38,1077.58,512.68,10.99
SKYROS,7.65,4.86,19.75,1025.57,578.31,405.84,1.89
SIMI,9.88,4.06,9.3,805.21,614.14,428.99,1.14
