ELECTRIC SYSTEM NII,THERMAL UNITS INSTALLED CAPACITY 2021,MAX ANNUAL PEAK DEMAND 2021,RES UNITS ENERGY GENERATION (MWh),THERMAL UNITS ENERGY GENERATION (MWh),ATC_NII (€/MWh),AVC_NII (€/MWh),SHARE OF ELECTRICITY PRODUCTION FROM RES (%)
RODOS,326.96,237.47,15594.67,73033.82,286.08,214.73,17.6
LESVOS,102.6,68.36,4988.49,16976.05,233.78,225.86,22.71
KOS-KALIMNOS,143.74,106.08,5704.65,38290.02,291.57,216.88,12.97
LIMNOS,26.15,16.3,915.1,3952.28,310.88,252.93,18.8
MILOS,21.7,14.52,851.06,4335.47,258.15,187.17,16.41
CHIOS,77.78,51.9,3556.07,10882.01,260.84,223.32,24.63
SAMOS,49.63,33.1,3168.43,7951.98,293.14,218.7,28.49
KARPATHOS,19.05,12.45,687.36,3370.96,238.47,240.73,16.94
AGIOS EFSTRATIOS,0.84,0.35,0.0,80.18,524.84,350.38,0.0
AGATHONISI,0.64,0.24,0.0,69.68,828.17,382.52,0.0
AMORGOS,6.2,3.5,51.12,1066.43,499.62,375.76,4.57
ANAFI,1.15,0.64,0.0,144.49,548.05,362.52,0.0
ANTIKITHIRA,0.41,0.1,0.0,26.14,877.43,389.46,0.0
ARKOI,0.41,0.16,0.0,46.17,1146.51,483.44,0.0
ASTYPALAIA,5.1,2.59,67.36,613.63,445.85,379.64,9.89
GAVDOS,0.43,0.18,0.0,58.14,610.7,365.63,0.0
DONOUSA,0.99,0.46,0.0,131.44,775.24,347.97,0.0
EREIKOUSA,0.77,0.53,0.0,99.6,842.19,506.28,0.0
THIRA,80.19,58.35,123.23,27754.52,377.43,355.51,0.44
IKARIA,20.02,9.6,651.31,1468.98,705.02,504.67,30.72
KYTHNOS,7.2,4.34,42.36,1041.69,523.61,411.95,3.91
MEGISTI,2.22,1.19,0.0,344.61,425.12,314.31,0.0
OTHONON,0.66,0.29,0.0,77.44,707.53,332.06,0.0
PATMOS,8.93,6.14,369.04,1332.53,527.12,471.15,21.69
SERIFOS,7.97,4.14,24.71,930.68,427.04,334.2,2.59
SIFNOS,11.48,7.5,342.36,1783.94,653.97,404.15,16.1
SKYROS,7.65,4.86,57.43,1267.12,500.37,353.51,4.34
SIMI,9.88,4.06,28.09,1188.33,466.15,378.39,2.31
