ELECTRIC SYSTEM NII,THERMAL UNITS INSTALLED CAPACITY 2022,MAX ANNUAL PEAK DEMAND 2022,RES UNITS ENERGY GENERATION (MWh),THERMAL UNITS ENERGY GENERATION (MWh),ATC_NII (€/MWh),AVC_NII (€/MWh),SHARE OF ELECTRICITY PRODUCTION FROM RES (%)
RODOS,326.96,218.0,14876.06,105517.67,286.05,226.41,12.36
LESVOS,102.6,63.25,4462.27,26059.33,220.06,196.92,14.62
KOS-KALIMNOS,213.69,97.5,6564.09,51987.33,336.92,249.7,11.21
LIMNOS,26.15,14.1,758.09,6435.98,289.28,210.72,10.54
MILOS,25.5,13.59,780.68,6598.33,213.53,184.28,10.58
CHIOS,77.78,44.9,3441.65,17855.62,224.49,179.19,16.16
SAMOS,49.63,28.6,3903.58,11215.37,253.16,191.43,25.82
KARPATHOS,19.05,10.94,724.19,5540.2,275.06,223.28,11.56
AGIOS EFSTRATIOS,0.84,0.3,0.0,125.16,455.03,343.91,0.0
AGATHONISI,0.64,0.23,0.0,80.53,873.37,428.08,0.0
AMORGOS,6.2,3.23,58.17,1583.09,423.03,296.84,3.54
ANAFI,1.15,0.63,0.0,255.68,376.03,345.66,0.0
ANTIKITHIRA,0.41,0.12,0.0,35.85,707.81,428.96,0.0
ARKOI,0.41,0.16,0.0,67.87,854.37,434.9,0.0
ASTYPALAIA,5.1,2.36,70.16,1041.48,406.8,330.87,6.31
GAVDOS,0.83,0.19,0.0,83.35,602.12,424.42,0.0
DONOUSA,0.99,0.52,0.89,192.61,939.13,414.44,0.46
EREIKOUSA,1.17,0.49,0.0,153.82,485.97,331.34,0.0
THIRA,80.19,58.5,136.1,36667.2,382.9,331.22,0.37
IKARIA,20.02,6.74,671.22,2504.51,516.05,333.28,21.14
KYTHNOS,7.2,4.05,46.33,1789.08,423.44,344.03,2.52
MEGISTI,2.22,1.31,0.0,670.62,438.24,358.07,0.0
OTHONON,0.66,0.25,0.0,88.93,729.74,327.43,0.0
PATMOS,8.93,5.18,485.04,2104.35,436.95,373.55,18.73
SERIFOS,9.22,3.58,25.98,1618.7,385.33,324.02,1.58
SIFNOS,12.73,6.64,303.48,3143.68,538.53,373.59,8.8
SKYROS,8.9,4.18,62.89,1936.09,462.56,353.43,3.15
SIMI,9.88,3.93,30.0,2010.99,461.93,379.4,1.47
